queryPath, docId, milliseconds
queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1271, 16323
queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1272, 15848
queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1273, 16150
queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1271, 13938
queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1272, 13444
queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1273, 14173
queries/Bioref-PM/experiment-zero.txt, 1271, 2
queries/Bioref-PM/experiment-zero.txt, 1272, 1
queries/Bioref-PM/experiment-zero.txt, 1273, 1
queries/Bioref-PM/steps.txt, 1271, 12
queries/Bioref-PM/steps.txt, 1272, 13
queries/Bioref-PM/steps.txt, 1273, 12
queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1271, 63839
queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1272, 62582
queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1273, 65080
queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1271, 140234
queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1272, 138063
queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1273, 143432
queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1271, 1438
queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1272, 1391
queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1273, 1472
